address,latitude,longitude,number_of_raids,proportion_no_action,raid_dates_and_resolutions
102-21 ROOSEVELT AVENUE Queens,40.75006221,-73.86330785,8,0.0,"[('2013-10-05', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-01-23', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-05-04', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2012-12-01', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-08-24', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-06-06', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2012-12-01', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-08-24', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
102-53 43 AVENUE Queens,40.74795401,-73.86111389,1,1.0,"[('2012-10-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1020 AMSTERDAM AVENUE Manhattan,40.80335559,-73.96404229999999,1,0.0,"[('2013-11-15', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
1020 EAST 48 STREET Brooklyn,40.63620462,-73.93116408,1,0.0,"[('2015-01-30', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
103 EMPIRE BOULEVARD Brooklyn,40.66384344,-73.95861392,3,0.6666666666666666,"[('2013-05-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-02-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
103-08 39 AVENUE Queens,40.75062126,-73.86278387,1,0.0,"[('2012-11-30', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
103-11 39 AVENUE Queens,40.75097327,-73.86257821,1,0.0,"[('2012-12-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1031 GRAND STREET Brooklyn,40.71398025,-73.93445541,1,1.0,"[('2012-10-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1038 FLATBUSH AVENUE Brooklyn,40.64573992,-73.95839362,2,0.0,"[('2015-04-29', 'STOP WORK ORDER FULLY RESCINDED N'), ('2015-04-22', 'STOP WORK ORDER FULLY RESCINDED N')]"
104 AVENUE C Manhattan,40.72384934,-73.97870041,1,1.0,"[('2013-05-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
104 DYCKMAN STREET Manhattan,40.86172527,-73.92522433,4,0.0,"[('2016-08-13', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-08-13', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-08-13', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-08-13', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
104-07 LIBERTY AVENUE Queens,40.68237049,-73.83676659,1,1.0,"[('2012-07-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
104-09 123 STREET Queens,40.68725175,-73.82042573,2,1.0,"[('2015-09-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
104-14 JAMAICA AVENUE Queens,40.69497135,-73.84278431,1,0.0,"[('2016-03-20', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
104-16 ROOSEVELT AVENUE Queens,40.74977225,-73.86104072,2,0.0,"[('2013-10-26', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-10-26', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
104-22 NORTHERN BOULEVARD Queens,40.75745258,-73.86378844,1,1.0,"[('2016-04-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1046 WOODYCREST AVENUE Bronx,40.83370193,-73.92683682,1,1.0,"[('2013-05-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
105-06 JAMAICA AVENUE Queens,40.69502738,-73.84168597,3,0.6666666666666666,"[('2017-04-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-10-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-20', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
105-13 JAMAICA AVENUE Queens,40.69548008,-73.84151164,2,1.0,"[('2015-02-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-07-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1053 EAST 45 STREET Brooklyn,40.63535931,-73.93318759,1,1.0,"[('2013-09-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1055 EAST 45 STREET Brooklyn,40.63535931,-73.93318759,4,0.75,"[('2014-09-21', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2012-09-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-01-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-05-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1061 HOME STREET Bronx,40.82839461,-73.88720551,3,0.0,"[('2012-06-02', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2013-08-10', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-08-10', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1062 FLATBUSH AVENUE Brooklyn,40.64479219,-73.95826032,6,0.5,"[('2013-05-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-17', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2012-06-30', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2012-06-30', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-01-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-11-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1065 PACIFIC STREET Brooklyn,40.67915371,-73.95792255,1,1.0,"[('2016-06-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
107 NORTH 6 STREET Brooklyn,40.71846616,-73.95986071,1,1.0,"[('2017-03-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
107 SUFFOLK STREET Manhattan,40.71909368,-73.98643603,2,1.0,"[('2013-02-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-08-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
107-09 ROCKAWAY BOULEVARD Queens,40.67859801,-73.83182018,9,0.0,"[('2015-09-12', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2013-09-28', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-09-12', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2015-09-12', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2016-03-19', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-09-28', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2015-09-12', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2016-03-19', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2016-03-19', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
107-10 ROCKAWAY BOULEVARD Queens,40.67806498,-73.83193039,1,1.0,"[('2012-07-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
107-11 NORTHERN BOULEVARD Queens,40.75809991,-73.86150178,1,0.0,"[('2013-10-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
107-14 101 AVENUE Queens,40.68700657,-73.83545415,1,1.0,"[('2013-09-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
107-15 112 STREET Queens,40.68229105,-73.82857799,1,0.0,"[('2015-03-21', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
107-23 LIBERTY AVENUE Queens,40.68386331,-73.83399426,1,1.0,"[('2016-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
108 NORTH 6 STREET Brooklyn,40.71824401,-73.96032206,2,0.5,"[('2016-04-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-09-10', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
108-02 NORTHERN BOULEVARD Queens,40.75755741,-73.86076325,1,1.0,"[('2012-07-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
108-14 ROOSEVELT AVENUE Queens,40.75065997,-73.85803845,1,0.0,"[('2014-02-15', 'ECB VIOLATION SERVED')]"
1088 FULTON STREET Brooklyn,40.68121962,-73.9574035,2,0.5,"[('2015-06-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-11-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
1089 CYPRESS AVENUE Queens,40.69651978,-73.89984668,1,0.0,"[('2014-04-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
109 EAST 9 STREET Manhattan,40.73050486,-73.989889,2,0.0,"[('2012-12-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2012-12-05', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
109 GRAHAM AVENUE Brooklyn,40.7054737,-73.94321395,1,0.0,"[('2016-03-13', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
109 LUDLOW STREET Manhattan,40.71941471,-73.98895590000001,1,0.0,"[('2012-08-11', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
109-06 CORONA AVENUE Queens,40.74205345,-73.85396481,1,1.0,"[('2012-10-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
109-07 LIBERTY AVENUE Queens,40.68446728,-73.83249034,2,1.0,"[('2015-09-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-09-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
109-08 LIBERTY AVENUE Queens,40.68392273,-73.83250512,1,1.0,"[('2016-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1098 LAFAYETTE AVENUE Bronx,40.81600944,-73.89347651,2,0.5,"[('2013-03-17', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-10-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
11 WEST 32 STREET Manhattan,40.74770416,-73.98623205,1,1.0,"[('2016-01-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
111 ORIENTAL BOULEVARD Brooklyn,40.57719511,-73.95247138,2,0.0,"[('2013-12-06', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-12-06', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
111-10 ROOSEVELT AVENUE Queens,40.75147020000001,-73.85532289,3,0.3333333333333333,"[('2014-11-14', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-06-13', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-02-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
111-16 ROOSEVELT AVENUE Queens,40.75154516,-73.85507265,1,0.0,"[('2015-04-17', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
111-18 ROOSEVELT AVENUE Queens,40.751565899999996,-73.85500340000002,1,1.0,"[('2013-02-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
111-46 LEFFERTS BOULEVARD Queens,40.67915505,-73.82103000000001,2,1.0,"[('2014-04-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-03-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1114 AVENUE U Brooklyn,40.59811324,-73.96061395,1,1.0,"[('2016-09-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1116 AVENUE U Brooklyn,40.59812796,-73.96054458,3,1.0,"[('2015-12-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-07-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-06-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1118 CORTELYOU ROAD Brooklyn,40.6396648,-73.96718881,2,0.5,"[('2016-08-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-05-17', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV & PARTIAL VACATE ISSUED P')]"
1119 FLATBUSH AVENUE Brooklyn,40.64320756,-73.95741414,4,0.0,"[('2016-03-16', 'VACATE'), ('2016-03-23', 'VACATE'), ('2013-11-23', 'VACATE'), ('2015-11-19', 'VACATE')]"
112 AVENUE A Manhattan,40.72583377,-73.98337430000001,1,0.0,"[('2012-12-15', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
112 RIVINGTON STREET Manhattan,40.7200669,-73.98770434,4,0.5,"[('2013-02-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2012-08-14', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-03-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-05-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
112-06 LIBERTY AVENUE Queens,40.68495276,-73.82990265,1,1.0,"[('2014-04-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
112-07 JAMAICA AVENUE Queens,40.69781618,-73.83618573,1,1.0,"[('2016-10-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
112-08 ROCKAWAY BEACH BOULEVARD Queens,40.58092018,-73.83417506,2,0.5,"[('2015-11-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-02-20', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
112-16 ROCKAWAY BEACH BOULEVARD Queens,40.58087261,-73.83434394,1,1.0,"[('2014-05-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
112-32 ROCKAWAY BEACH BOULEVARD Queens,40.58077876,-73.83467981,1,1.0,"[('2015-02-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
112-51 ROOSEVELT AVENUE Queens,40.75267314,-73.85282169,1,0.0,"[('2017-04-30', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
1122 BUSHWICK AVENUE Brooklyn,40.68949673,-73.91871891,1,1.0,"[('2016-05-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
113 EAST 157 STREET Bronx,40.82575824,-73.92633871,5,1.0,"[('2016-11-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-02-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-03-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-07-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
113 JANE STREET Manhattan,40.7382984,-74.00932174,1,1.0,"[('2016-12-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
113-12 SPRINGFIELD BOULEVARD Queens,40.70373489,-73.74076327,1,1.0,"[('2013-05-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1134 1 AVENUE Manhattan,40.76159348,-73.96016354,1,1.0,"[('2017-04-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
114 KENMARE STREET Manhattan,40.72120258,-73.99774001,2,0.0,"[('2013-02-02', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-02-02', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
114 WEST 124 STREET Manhattan,40.80721919,-73.94685854,1,1.0,"[('2013-01-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
114-53 FARMERS BOULEVARD Queens,40.6966219,-73.76143784,2,1.0,"[('2013-03-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1146 BUSHWICK AVENUE Brooklyn,40.68904476,-73.91799118,1,0.0,"[('2017-05-19', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
115 AVENUE C Manhattan,40.72445428,-73.97887182,1,1.0,"[('2015-09-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
115 EAST 157 STREET Bronx,40.82575824,-73.92633871,1,1.0,"[('2014-03-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
115 ESSEX STREET Manhattan,40.71953132,-73.98802106,2,0.5,"[('2013-02-15', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2012-08-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
115-05 FARMERS BOULEVARD Queens,40.69578189999999,-73.76126861,4,0.75,"[('2015-02-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-27', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-06-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
115-10 ROCKAWAY BEACH BOULEVARD Queens,40.58018867,-73.83678583,6,0.3333333333333333,"[('2016-08-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-08-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-02-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-08-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-11-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-08-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
115-22 LIBERTY AVENUE Queens,40.68559669,-73.82692209999999,1,0.0,"[('2015-09-12', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
116 10 AVENUE Manhattan,40.74408039,-74.00639308,1,1.0,"[('2014-02-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
116 NORTH 5 STREET Brooklyn,40.71708753,-73.9599471,1,1.0,"[('2017-03-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
116-02 JAMAICA AVENUE Queens,40.698961600000004,-73.83301371,2,1.0,"[('2015-02-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-03-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
117-03 HILLSIDE AVENUE Queens,40.70034958,-73.83304152,2,0.0,"[('2013-01-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-01-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
117-15 101 AVENUE Queens,40.68985855,-73.82726995,1,1.0,"[('2015-10-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1170 EAST GUN HILL ROAD Bronx,40.8727805,-73.85295034,2,0.5,"[('2014-04-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-08-16', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
1172 EAST GUNHILL ROAD Bronx,40.8727805,-73.85295034,1,1.0,"[('2017-02-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1175 BEDFORD AVENUE Brooklyn,40.68327386,-73.9536074,5,0.4,"[('2012-07-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-10', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-11-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-09-06', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2013-09-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
1177 WHEELER AVENUE Bronx,40.82826539,-73.88034677,3,0.3333333333333333,"[('2014-01-03', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-01-03', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-04-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1177A WHEELER AVENUE Bronx,40.82826539,-73.88034677,2,0.5,"[('2012-07-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-26', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1178 EAST NEW YORK AVENUE Brooklyn,40.66657481,-73.9232717,2,0.5,"[('2014-01-10', 'MARCH: NO PA PERMIT/ECB NOV & PARTIAL VACATE ISSUED P'), ('2013-08-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
118 EAST 116 STREET Manhattan,40.79866252,-73.94243663,1,1.0,"[('2016-04-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
118-04 LIBERTY AVENUE Queens,40.68581404,-73.82473385,1,0.0,"[('2013-09-27', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
118-14 LIBERTY AVENUE Queens,40.68590298,-73.82438443,1,0.0,"[('2014-04-25', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
