address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number,longitude,latitude,fl_bin,number_calls,preceding_month,preceding_year,proportion_last_year_resolved,specific_datafile,full_address
1013 BEDFORD AVENUE,Brooklyn,BK,3322140,1788.0,9.0,2015-06-27,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35137281K,"062815CNEMR01,DG01",-73.95484794,40.68932672,3322140.0,55,5,29,0,cases/1013 BEDFORD AVENUE_BROOKLYN_2015-06-27T00:00:00.csv,1013 BEDFORD AVENUEBrooklyn
1013 BEDFORD AVENUE,Brooklyn,BK,3322140,1788.0,9.0,2015-06-27,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136657P,"062815CNEMR01,DG01",-73.95484794,40.68932672,3322140.0,55,5,29,0,cases/1013 BEDFORD AVENUE_BROOKLYN_2015-06-27T00:00:00.csv,1013 BEDFORD AVENUEBrooklyn
1019 SIMPSON STREET,Bronx,BX,2005770,2724.0,32.0,2017-01-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.89339859,40.823543900000004,2005770.0,33,0,0,0,cases/1019 SIMPSON STREET_BRONX_2017-01-12T00:00:00.csv,1019 SIMPSON STREETBronx
1019 SIMPSON STREET,Bronx,BX,2005770,2724.0,32.0,2016-07-08,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35169023Y,070816CNEAC01,-73.89339859,40.823543900000004,2005770.0,33,0,8,0,cases/1019 SIMPSON STREET_BRONX_2016-07-08T00:00:00.csv,1019 SIMPSON STREETBronx
102-02 43 AVENUE,Queens,QN,4048594,1978.0,1.0,2017-07-21,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35263637J,072117CNEDG01,-73.86257281,40.74700894,4048594.0,57,0,25,0,cases/102-02 43 AVENUE_QUEENS_2017-07-21T00:00:00.csv,102-02 43 AVENUEQueens
102-10 37 AVENUE,Queens,QN,4044219,1768.0,7.0,2016-04-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86489127,40.75297046,4044219.0,15,0,1,0,cases/102-10 37 AVENUE_QUEENS_2016-04-15T00:00:00.csv,102-10 37 AVENUEQueens
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974.0,2.0,2015-12-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86323,40.74960861,4437314.0,14,0,1,0,cases/102-14 ROOSEVELT AVENUE_QUEENS_2015-12-13T00:00:00.csv,102-14 ROOSEVELT AVENUEQueens
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974.0,2.0,2014-02-15,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35090750Z,021514PANEDG01,-73.86323,40.74960861,4437314.0,14,0,1,0,cases/102-14 ROOSEVELT AVENUE_QUEENS_2014-02-15T00:00:00.csv,102-14 ROOSEVELT AVENUEQueens
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974.0,2.0,2017-04-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86323,40.74960861,4437314.0,14,0,0,0,cases/102-14 ROOSEVELT AVENUE_QUEENS_2017-04-23T00:00:00.csv,102-14 ROOSEVELT AVENUEQueens
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974.0,2.0,2013-02-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86323,40.74960861,4437314.0,14,0,4,0,cases/102-14 ROOSEVELT AVENUE_QUEENS_2013-02-16T00:00:00.csv,102-14 ROOSEVELT AVENUEQueens
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770.0,41.0,2013-10-05,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35065308L,,-73.86330785,40.75006221,4044372.0,18,0,4,0,cases/102-21 ROOSEVELT AVENUE_QUEENS_2013-10-05T00:00:00.csv,102-21 ROOSEVELT AVENUEQueens
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770.0,41.0,2015-01-23,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35117931P,012315PANER02,-73.86330785,40.75006221,4044372.0,18,0,1,0,cases/102-21 ROOSEVELT AVENUE_QUEENS_2015-01-23T00:00:00.csv,102-21 ROOSEVELT AVENUEQueens
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770.0,41.0,2014-05-04,MARCH: NO PA PERMIT/ECB NOV ISSUED,35091028X,0504014PANEMC01,-73.86330785,40.75006221,4044372.0,18,1,5,0,cases/102-21 ROOSEVELT AVENUE_QUEENS_2014-05-04T00:00:00.csv,102-21 ROOSEVELT AVENUEQueens
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770.0,41.0,2012-12-01,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006479X,120112CNEJM04,-73.86330785,40.75006221,4044372.0,18,0,5,0,cases/102-21 ROOSEVELT AVENUE_QUEENS_2012-12-01T00:00:00.csv,102-21 ROOSEVELT AVENUEQueens
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770.0,41.0,2014-08-24,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095997N,082414CNETZ03/02,-73.86330785,40.75006221,4044372.0,18,0,5,0,cases/102-21 ROOSEVELT AVENUE_QUEENS_2014-08-24T00:00:00.csv,102-21 ROOSEVELT AVENUEQueens
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770.0,41.0,2015-06-06,MARCH: NO PA PERMIT/ECB NOV ISSUED,35000490J,060615PANEDR01,-73.86330785,40.75006221,4044372.0,18,0,1,0,cases/102-21 ROOSEVELT AVENUE_QUEENS_2015-06-06T00:00:00.csv,102-21 ROOSEVELT AVENUEQueens
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770.0,41.0,2012-12-01,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006480N,120112PANEJM05,-73.86330785,40.75006221,4044372.0,18,0,5,0,cases/102-21 ROOSEVELT AVENUE_QUEENS_2012-12-01T00:00:00.csv,102-21 ROOSEVELT AVENUEQueens
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770.0,41.0,2014-08-24,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095998P,082414CNETZ03/02,-73.86330785,40.75006221,4044372.0,18,0,5,0,cases/102-21 ROOSEVELT AVENUE_QUEENS_2014-08-24T00:00:00.csv,102-21 ROOSEVELT AVENUEQueens
102-53 43 AVENUE,Queens,QN,4431855,1977.0,29.0,2012-10-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86111389,40.74795401,4431855.0,3,0,0,0,cases/102-53 43 AVENUE_QUEENS_2012-10-06T00:00:00.csv,102-53 43 AVENUEQueens
1020 AMSTERDAM AVENUE,Manhattan,MN,1056908,1882.0,28.0,2013-11-15,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35064754R,,-73.96404229999999,40.80335559,1056908.0,137,0,5,0,cases/1020 AMSTERDAM AVENUE_MANHATTAN_2013-11-15T00:00:00.csv,1020 AMSTERDAM AVENUEManhattan
1020 EAST 48 STREET,Brooklyn,BK,3106488,4786.0,22.0,2015-01-30,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35117984Z,,-73.93116408,40.63620462,3106488.0,58,0,18,0,cases/1020 EAST 48 STREET_BROOKLYN_2015-01-30T00:00:00.csv,1020 EAST 48 STREETBrooklyn
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306.0,37.0,2013-05-31,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95861392,40.66384344,3034457.0,32,0,0,0,cases/103 EMPIRE BOULEVARD_BROOKLYN_2013-05-31T00:00:00.csv,103 EMPIRE BOULEVARDBrooklyn
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306.0,37.0,2013-01-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95861392,40.66384344,3034457.0,32,0,1,0,cases/103 EMPIRE BOULEVARD_BROOKLYN_2013-01-18T00:00:00.csv,103 EMPIRE BOULEVARDBrooklyn
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306.0,37.0,2014-02-01,MARCH: NO PA PERMIT/ECB NOV ISSUED,35081096Z,,-73.95861392,40.66384344,3034457.0,32,1,1,0,cases/103 EMPIRE BOULEVARD_BROOKLYN_2014-02-01T00:00:00.csv,103 EMPIRE BOULEVARDBrooklyn
103-08 39 AVENUE,Queens,QN,4044402,1770.0,113.0,2012-11-30,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006477M,113012CNEJM02,-73.86278387,40.75062126,4044402.0,0,0,0,0,,103-08 39 AVENUEQueens
103-11 39 AVENUE,Queens,QN,4437223,1769.0,55.0,2012-12-01,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006478Y,120112PAERJM03,-73.86257821,40.75097327,4437223.0,15,0,0,0,cases/103-11 39 AVENUE_QUEENS_2012-12-01T00:00:00.csv,103-11 39 AVENUEQueens
1031 GRAND STREET,Brooklyn,BK,3338342,2925.0,1.0,2012-10-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93445541,40.71398025,3338342.0,7,1,2,0,cases/1031 GRAND STREET_BROOKLYN_2012-10-12T00:00:00.csv,1031 GRAND STREETBrooklyn
1038 FLATBUSH AVENUE,Brooklyn,BK,3328218,5125.0,60.0,2015-04-29,STOP WORK ORDER FULLY RESCINDED N,35122263P,042215BS14CR01,-73.95839362,40.64573992,3328218.0,11,0,2,0,cases/1038 FLATBUSH AVENUE_BROOKLYN_2015-04-29T00:00:00.csv,1038 FLATBUSH AVENUEBrooklyn
1038 FLATBUSH AVENUE,Brooklyn,BK,3328218,5125.0,60.0,2015-04-22,STOP WORK ORDER FULLY RESCINDED N,35122263P,042215BS14CR01,-73.95839362,40.64573992,3328218.0,11,0,2,0,cases/1038 FLATBUSH AVENUE_BROOKLYN_2015-04-22T00:00:00.csv,1038 FLATBUSH AVENUEBrooklyn
104 AVENUE C,Manhattan,MN,1004469,376.0,7.0,2013-05-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.97870041,40.72384934,1004469.0,45,0,15,0,cases/104 AVENUE C_MANHATTAN_2013-05-23T00:00:00.csv,104 AVENUE CManhattan
104 DYCKMAN STREET,Manhattan,MN,1084401,2174.0,66.0,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196888R,081316CNETZ02,-73.92522433,40.86172527,1084401.0,31,0,0,0,cases/104 DYCKMAN STREET_MANHATTAN_2016-08-13T00:00:00.csv,104 DYCKMAN STREETManhattan
104 DYCKMAN STREET,Manhattan,MN,1084401,2174.0,66.0,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196889Z,081316CNETZ01,-73.92522433,40.86172527,1084401.0,31,0,0,0,cases/104 DYCKMAN STREET_MANHATTAN_2016-08-13T00:00:00.csv,104 DYCKMAN STREETManhattan
104 DYCKMAN STREET,Manhattan,MN,1084401,2174.0,66.0,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196889Z,081316CNETZ02,-73.92522433,40.86172527,1084401.0,31,0,0,0,cases/104 DYCKMAN STREET_MANHATTAN_2016-08-13T00:00:00.csv,104 DYCKMAN STREETManhattan
104 DYCKMAN STREET,Manhattan,MN,1084401,2174.0,66.0,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196888R,081316CNETZ01,-73.92522433,40.86172527,1084401.0,31,0,0,0,cases/104 DYCKMAN STREET_MANHATTAN_2016-08-13T00:00:00.csv,104 DYCKMAN STREETManhattan
104-07 LIBERTY AVENUE,Queens,QN,4201475,9508.0,47.0,2012-07-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83676659,40.68237049,4201475.0,70,0,37,0,cases/104-07 LIBERTY AVENUE_QUEENS_2012-07-08T00:00:00.csv,104-07 LIBERTY AVENUEQueens
104-09 123 STREET,Queens,QN,4204508,9577.0,65.0,2015-09-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82042573,40.68725175,4204508.0,27,0,5,0,cases/104-09 123 STREET_QUEENS_2015-09-12T00:00:00.csv,104-09 123 STREETQueens
104-09 123 STREET,Queens,QN,4204508,9577.0,65.0,2015-03-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82042573,40.68725175,4204508.0,27,1,3,0,cases/104-09 123 STREET_QUEENS_2015-03-08T00:00:00.csv,104-09 123 STREETQueens
104-14 JAMAICA AVENUE,Queens,QN,4194334,9289.0,106.0,2016-03-20,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168222M,032016PAERDM01,-73.84278431,40.69497135,4194334.0,0,0,0,0,,104-14 JAMAICA AVENUEQueens
104-16 ROOSEVELT AVENUE,Queens,QN,4437332,1984.0,1.0,2013-10-26,MARCH: NO PA PERMIT/ECB NOV ISSUED,35029712P,,-73.86104072,40.74977225,4437332.0,2,0,0,0,cases/104-16 ROOSEVELT AVENUE_QUEENS_2013-10-26T00:00:00.csv,104-16 ROOSEVELT AVENUEQueens
104-16 ROOSEVELT AVENUE,Queens,QN,4437332,1984.0,1.0,2013-10-26,MARCH: NO PA PERMIT/ECB NOV ISSUED,35029711N,,-73.86104072,40.74977225,4437332.0,2,0,0,0,cases/104-16 ROOSEVELT AVENUE_QUEENS_2013-10-26T00:00:00.csv,104-16 ROOSEVELT AVENUEQueens
104-22 NORTHERN BOULEVARD,Queens,QN,4042657,1719.0,10.0,2016-04-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86378844,40.75745258,4042657.0,24,0,1,0,cases/104-22 NORTHERN BOULEVARD_QUEENS_2016-04-15T00:00:00.csv,104-22 NORTHERN BOULEVARDQueens
1046 WOODYCREST AVENUE,Bronx,BX,2003140,2508.0,22.0,2013-05-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92683682,40.83370193,2003140.0,6,1,2,0,cases/1046 WOODYCREST AVENUE_BRONX_2013-05-03T00:00:00.csv,1046 WOODYCREST AVENUEBronx
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289.0,21.0,2017-04-01,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.84168597,40.69502738,4194289.0,13,0,2,0,cases/105-06 JAMAICA AVENUE_QUEENS_2017-04-01T00:00:00.csv,105-06 JAMAICA AVENUEQueens
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289.0,21.0,2016-10-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.84168597,40.69502738,4194289.0,13,0,2,0,cases/105-06 JAMAICA AVENUE_QUEENS_2016-10-16T00:00:00.csv,105-06 JAMAICA AVENUEQueens
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289.0,21.0,2016-03-20,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168911H,032016PAERMT05,-73.84168597,40.69502738,4194289.0,13,0,0,0,cases/105-06 JAMAICA AVENUE_QUEENS_2016-03-20T00:00:00.csv,105-06 JAMAICA AVENUEQueens
105-13 JAMAICA AVENUE,Queens,QN,4192040,9201.0,39.0,2015-02-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.84151164,40.69548008,4192040.0,9,0,0,0,cases/105-13 JAMAICA AVENUE_QUEENS_2015-02-13T00:00:00.csv,105-13 JAMAICA AVENUEQueens
105-13 JAMAICA AVENUE,Queens,QN,4192040,9201.0,39.0,2012-07-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.84151164,40.69548008,4192040.0,9,0,0,0,cases/105-13 JAMAICA AVENUE_QUEENS_2012-07-03T00:00:00.csv,105-13 JAMAICA AVENUEQueens
1053 EAST 45 STREET,Brooklyn,BK,3114528,5022.0,50.0,2013-09-29,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93318759,40.63535931,3114528.0,1,0,0,0,cases/1053 EAST 45 STREET_BROOKLYN_2013-09-29T00:00:00.csv,1053 EAST 45 STREETBrooklyn
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022.0,50.0,2014-09-21,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35103244X,092114CERDM01,-73.93318759,40.63535931,3114528.0,5,0,0,0,cases/1055 EAST 45 STREET_BROOKLYN_2014-09-21T00:00:00.csv,1055 EAST 45 STREETBrooklyn
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022.0,50.0,2012-09-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93318759,40.63535931,3114528.0,5,0,0,0,cases/1055 EAST 45 STREET_BROOKLYN_2012-09-15T00:00:00.csv,1055 EAST 45 STREETBrooklyn
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022.0,50.0,2015-01-30,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93318759,40.63535931,3114528.0,5,0,0,0,cases/1055 EAST 45 STREET_BROOKLYN_2015-01-30T00:00:00.csv,1055 EAST 45 STREETBrooklyn
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022.0,50.0,2013-05-05,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93318759,40.63535931,3114528.0,5,0,0,0,cases/1055 EAST 45 STREET_BROOKLYN_2013-05-05T00:00:00.csv,1055 EAST 45 STREETBrooklyn
1061 HOME STREET,Bronx,BX,2010898,3006.0,13.0,2012-06-02,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,34955580Z,,-73.88720551,40.82839461,2010898.0,6,0,1,0,cases/1061 HOME STREET_BRONX_2012-06-02T00:00:00.csv,1061 HOME STREETBronx
1061 HOME STREET,Bronx,BX,2010898,3006.0,13.0,2013-08-10,MARCH: NO PA PERMIT/ECB NOV ISSUED,35022198J,,-73.88720551,40.82839461,2010898.0,6,0,0,0,cases/1061 HOME STREET_BRONX_2013-08-10T00:00:00.csv,1061 HOME STREETBronx
1061 HOME STREET,Bronx,BX,2010898,3006.0,13.0,2013-08-10,MARCH: NO PA PERMIT/ECB NOV ISSUED,35025447P,,-73.88720551,40.82839461,2010898.0,6,0,0,0,cases/1061 HOME STREET_BRONX_2013-08-10T00:00:00.csv,1061 HOME STREETBronx
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152.0,8.0,2013-05-17,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95826032,40.64479219,3118553.0,28,0,1,0,cases/1062 FLATBUSH AVENUE_BROOKLYN_2013-05-17T00:00:00.csv,1062 FLATBUSH AVENUEBrooklyn
